leak name  |  hashes  |  hash type
-----------|----------|-----------
vrtalk.com                              |  509      |  MD5  |
----------------------------------------|-----------|-------|-----
catiewayne.com_usr                      |  5        |  MD5  |
sledderforums.com                       |  126      |  MD5  |
canwatchco.ca                           |  655      |  MD5  |
maiestas.org                            |  1084     |  MD5  |
assetgateway_admin                      |  1        |  MD5  |
cms_exp_members_03_13_2016              |  1117     |  MD5  |
marijuanagrowing.com                    |  2295     |  MD5  |
ClixSense.com [2                        |  2M 08    |  1    |  MD5
forums.augi.com                         |  101      |  MD5  |
italianhax.com                          |  937      |  MD5  |
w0rmsws                                 |  5        |  MD5  |
CareerLab.com_Oct2016                   |  2415     |  MD5  |
Nabi                                    |  1038     |  MD5  |
va                                      |  351      |  MD5  |
pascalgamedevelopment.com               |  94       |  MD5  |
mma                                     |  150      |  MD5  |
blaze                                   |  4        |  MD5  |
minecraft pe forum                      |  3        |  MD5  |
darkmills.cc                            |  187      |  MD5  |
zonehacks.com                           |  290      |  MD5  |
MTIScape DB                             |  1        |  MD5  |
iratus                                  |  2        |  MD5  |
leakforums                              |  1        |  MD5  |
forumvol_voltedipb_2013_08_04_16_27     |  6812     |  MD5  |
calltermination.com_January2017         |  572      |  MD5  |
forums.cashisonline.com                 |  1558     |  MD5  |
fling.com_40M_users                     |  13124    |  MD5  |
AdminDiscussion.com                     |  1        |  MD5  |
rangevideo.com                          |  851      |  MD5  |
leakninja.com                           |  558      |  MD5  |
deniedgr_irata                          |  2        |  MD5  |
Best of MC Database                     |  58       |  MD5  |
mixbizz.com                             |  12       |  MD5  |
forum.zenstudios.com                    |  7        |  MD5  |
ozzmodz.com                             |  209      |  MD5  |
os                                      |  2694     |  MD5  |
careerlabs.com                          |  2511     |  MD5  |
vrtalk.com                              |  473      |  MD5  |
aussievapers.com                        |  3514     |  MD5  |
foilforum.com                           |  134      |  MD5  |
fishingboard.net                        |  38       |  MD5  |
astropid_users                          |  4        |  MD5  |
scenesat.com                            |  175      |  MD5  |
HCRiots_Forums_Leak (1)                 |  3        |  MD5  |
awknet_admin                            |  1        |  MD5  |
community.freebord.com                  |  374      |  MD5  |
gaijingamers.com                        |  396      |  MD5  |
PEforums                                |  3        |  MD5  |
board.uscho.com_Jan2017                 |  1        |  MD5  |
callofduty                              |  1        |  MD5  |
blacklistedsociety.com                  |  1        |  MD5  |
joyheat.com                             |  1071     |  MD5  |
teens                                   |  1438     |  MD5  |
forum.jdmstyletuning.com                |  3467     |  MD5  |
forum.rompvp.com                        |  234      |  MD5  |
PERCH CMS                               |  2        |  MD5  |
ludoria.net                             |  9        |  MD5  |
forums.superbetter.com                  |  114      |  MD5  |
cms_nightly_accounts_03_14_2016         |  370      |  MD5  |
eirtakon.com                            |  76       |  MD5  |
cannabisforum                           |  266      |  MD5  |
nflfans.com                             |  85       |  MD5  |
ovh                                     |  1        |  MD5  |
nifgaming.eu                            |  1        |  MD5  |
leakninja.com                           |  901      |  MD5  |
barcaforum.com_vb_January2017           |  573      |  MD5  |
forums.bandainamcogames.com             |  175      |  MD5  |
gossamerblue.com                        |  23       |  MD5  |
cms_accounts_03_14_2016                 |  37       |  MD5  |
swgreckoning.com                        |  631      |  MD5  |
yojoe.com                               |  3878     |  MD5  |
crackcom_dhruv                          |  119      |  MD5  |
forum.pitofwar.com                      |  121      |  MD5  |
Symantec                                |  1        |  MD5  |
quantum_booter_2014_03_18               |  12       |  MD5  |
linked                                  |  3        |  MD5  |
demonforums                             |  7        |  MD5  |
LOTS MORE DATABASES                     |  2        |  MD5  |
bluepark.co.uk_January2017              |  1        |  MD5  |
shardgaming_admin                       |  1        |  MD5  |
ospvp                                   |  2683     |  MD5  |
divination                              |  3256     |  MD5  |
spurstalk.com                           |  1874     |  MD5  |
campgroundmaster.com                    |  87       |  MD5  |
full_database_talahost.com              |  56       |  MD5  |
astropid_vb5                            |  206      |  MD5  |
Jaguar Member Tables                    |  885      |  MD5  |
hawkeshealth.net                        |  47       |  MD5  |
RecklessNetwork_Users                   |  1152     |  MD5  |
free                                    |  930      |  MD5  |
gonegambling.com                        |  80       |  MD5  |
bluepearl                               |  118      |  MD5  |
mtsboard.com                            |  414      |  MD5  |
hostbooter                              |  1        |  MD5  |
pixelentity.com                         |  1023     |  MD5  |
riseofchampions.com                     |  339      |  MD5  |
nsxprime.com                            |  1        |  MD5  |
sectionseven.net                        |  23       |  MD5  |
bdsmfap.com_21_Jan_2017                 |  141      |  MD5  |
hindudharmaforums.com                   |  205      |  MD5  |
reasonforums.com                        |  682      |  MD5  |
xboxforum.com_01.21.2017                |  7        |  MD5  |
smallblockposse.com                     |  323      |  MD5  |
new                                     |  362      |  MD5  |
thehousebreakingbible.com               |  1        |  MD5  |
edmodo (1)                              |  3        |  MD5  |
progressiveears.org                     |  614      |  MD5  |
de.Streamscene.cc_jan_2012_users        |  5076     |  MD5  |
MMA Member Tables                       |  150      |  MD5  |
wildraiderz.com                         |  305      |  MD5  |
downloadpolitics.com                    |  231      |  MD5  |
tetongravity.com                        |  540      |  MD5  |
vapersforum.com                         |  838      |  MD5  |
forums.mra                              |  678      |  MD5  |
righttorebel.net                        |  571      |  MD5  |
ipb_runehints                           |  99       |  MD5  |
breezesystemforum.co.uk_Jan2017         |  831      |  MD5  |
elluel.net                              |  2156     |  MD5  |
clubdbsa.org                            |  10       |  MD5  |
breezesysforum.co.uk                    |  822      |  MD5  |
aosts.net                               |  132      |  MD5  |
bdsmfap.com                             |  140      |  MD5  |
barcaforum.com                          |  578      |  MD5  |
sedona.com                              |  2703     |  MD5  |
HackersNation                           |  2        |  MD5  |
smallworlds.com                         |  301      |  MD5  |
bleachmyasylum.com                      |  616      |  MD5  |
thefobl.com                             |  1        |  MD5  |
ewebdiscussion.com                      |  3641     |  MD5  |
edmlife.com                             |  62       |  MD5  |
texasguntalk.com                        |  3170     |  MD5  |
mernetwork.com                          |  1010     |  MD5  |
MTIScape                                |  1        |  MD5  |
craft                                   |  2        |  MD5  |
nitrohosts_admin                        |  1        |  MD5  |
pashnit.com                             |  8        |  MD5  |
jh826491_oldipb                         |  15       |  MD5  |
clan                                    |  318      |  MD5  |
calltermination.com                     |  565      |  MD5  |
ftxgames.com                            |  171      |  MD5  |
iPvP_PayPal_Logs_9k                     |  1        |  MD5  |
forum.atlasti.com                       |  292      |  MD5  |
projectdream.co.uk                      |  63       |  MD5  |
ivniky                                  |  1        |  MD5  |
ixam_admin                              |  1        |  MD5  |
community.playkot.com                   |  1824     |  MD5  |
board.uscho.com                         |  1        |  MD5  |
pixelgoose.com                          |  229      |  MD5  |
1337                                    |  3648     |  MD5  |
inattack user table                     |  29204    |  MD5  |
ridetherock.com                         |  44       |  MD5  |
xboxforum.com                           |  547      |  MD5  |
birdphotographers.net_January2017       |  384      |  MD5  |
supermensa.org                          |  59       |  MD5  |
arenabg.com_forum                       |  21291    |  MD5  |
pardeevillecarshow                      |  4        |  MD5  |
bluepark.co.uk                          |  1        |  MD5  |
ownage_forum                            |  40       |  MD5  |
forum.epygi.com                         |  424      |  MD5  |
safeskyhacks.com                        |  1302     |  MD5  |
pathfinder                              |  61       |  MD5  |
wolfhacks                               |  1530     |  MD5  |
addictedcheats                          |  18       |  MD5  |
myvpz_admin                             |  1        |  MD5  |
stratfor_users                          |  46293    |  MD5  |
nextpoint_admin                         |  1        |  MD5  |
xxxhdporn.org                           |  1        |  MD5  |
MineField Database                      |  2334     |  MD5  |
psychonaut.com                          |  1443     |  MD5  |
Viphf December 2014                     |  2        |  MD5  |
Sky_hack_ru_users                       |  9        |  MD5  |
koboxingforum.com                       |  269      |  MD5  |
backcountrytalk.earnyourturns.com       |  139      |  MD5  |
forums.zarafa.com                       |  655      |  MD5  |
forums.kingsoftherealm.com              |  603      |  MD5  |
More Databases                          |  30       |  MD5  |
devil                                   |  1        |  MD5  |
forumcore                               |  41909    |  MD5  |
roaddevils.com                          |  307      |  MD5  |
catiewayne.com                          |  5        |  MD5  |
AdminCurve.net                          |  93       |  MD5  |
ibchan.com                              |  12       |  MD5  |
torrent                                 |  867      |  MD5  |
forums.prowrestling.com                 |  9        |  MD5  |
Minecraft Pocket Edition Forum          |  3        |  MD5  |
ixam_admin.db                           |  1        |  MD5  |
doublefinish.com                        |  68       |  MD5  |
torrent                                 |  13       |  MD5  |
forumkorner_users                       |  13       |  MD5  |
tequila.net                             |  341      |  MD5  |
Arma3Life                               |  119055   |  MD5  |
hauppauge.co.uk                         |  47       |  MD5  |
filmleaf.net                            |  4        |  MD5  |
forums.supertrapp.com                   |  60       |  MD5  |
avstv.com                               |  1        |  MD5  |
hackyard.net                            |  22       |  MD5  |
fpvlab                                  |  1215     |  MD5  |
forums.aussievapers.com_vb_January2017  |  32       |  MD5  |
hostrealm_admin                         |  1        |  MD5  |
Mmamembers                              |  150      |  MD5  |
kirupa.com                              |  109      |  MD5  |
narc.net                                |  30       |  MD5  |
atheistfoundation.org.au                |  1        |  MD5  |
AviatorCraft_ForumSQL                   |  32       |  MD5  |
hackforums                              |  167      |  MD5  |
edmodo                                  |  83       |  MD5  |
linode2                                 |  2        |  MD5  |
dnastu_12                               |  132      |  MD5  |
DayZ.com_Forum                          |  2145     |  MD5  |
bmr_users                               |  14       |  MD5  |
torrent                                 |  262      |  MD5  |
divination                              |  3256     |  MD5  |
callofduty                              |  1        |  MD5  |
mohackz_mo_users                        |  5571     |  MD5  |
2ndfloor.org                            |  2        |  MD5  |
DB Paladins                             |  3        |  MD5  |
divxup.com                              |  396      |  MD5  |
linked                                  |  3        |  MD5  |
techimo.com                             |  594      |  MD5  |
joomla                                  |  1        |  MD5  |
fadehost_admin                          |  1        |  MD5  |
darkstar                                |  134      |  MD5  |
birdphotographers.net                   |  386      |  MD5  |
BlackLotus                              |  1        |  MD5  |
hostclub_admin                          |  1        |  MD5  |
lastfm                                  |  4687684  |  MD5  |
